Gene,Group,Source,Pull-down Unused score,Length (bp),GC content (%),Mean eQTL SNP count
HSPB1,44 Non-Candidate,Pull-down,2.0,2867,62.7,2.0
HSPD1,44 Non-Candidate,Pull-down,4.16,6179,46.7,1.0
ILF3,44 Non-Candidate,Pull-down,6.53,39936,41.0,nan
MFAP1,44 Non-Candidate,Pull-down,2.04,16366,44.9,1.0
MSN,44 Non-Candidate,Pull-down,5.17,18584,46.1,nan
MYH9,44 Non-Candidate,Pull-down,14.19,66742,40.5,2.0
NCL,44 Non-Candidate,Pull-down,2.92,13021,52.0,3.0
PABPC1,44 Non-Candidate,Pull-down,4.77,10968,43.3,nan
PCBP2,44 Non-Candidate,Pull-down,2.03,20288,45.3,1.0
PDIA3,44 Non-Candidate,Pull-down,2.52,14255,44.9,1.5
PDIA6,44 Non-Candidate,Pull-down,2.25,13479,45.6,1.0
PNN,44 Non-Candidate,Pull-down,2.01,50162,43.4,1.5
PUF60,44 Non-Candidate,Pull-down,6.65,63833,40.4,1.0
RPL10A,44 Non-Candidate,Pull-down,2.34,4434,47.2,3.5
RPL14,44 Non-Candidate,Pull-down,2.0,4486,50.1,1.5
RPL18,44 Non-Candidate,Pull-down,2.52,4672,46.4,nan
RPL27A,44 Non-Candidate,Pull-down,2.0,5214,45.1,2.0
RPL7,44 Non-Candidate,Pull-down,2.08,6981,46.3,1.0
RPN1,44 Non-Candidate,Pull-down,2.23,11267,42.7,1.0
RPS15,44 Non-Candidate,Pull-down,2.07,5916,45.8,nan
RPS3A,44 Non-Candidate,Pull-down,2.38,7181,42.1,1.0
RPS8,44 Non-Candidate,Pull-down,2.76,5067,47.2,1.0
RRBP1,44 Non-Candidate,Pull-down,2.0,79242,44.4,2.5
SEPTIN2,44 Non-Candidate,Pull-down,2.0,21905,38.0,nan
SERPINB9,44 Non-Candidate,Pull-down,2.0,4113,53.4,nan
UBA52,44 Non-Candidate,Pull-down,2.0,2525,53.2,2.0
YBX1,44 Non-Candidate,Pull-down,8.28,19424,44.7,nan
ADCY5,30 T2DM control,GWAS_literature,0.0,547773,36.4,nan
APPL1,30 T2DM control,GWAS_literature,0.0,37425,42.6,1.0
ARAP1,30 T2DM control,GWAS_literature,0.0,122430,38.7,2.0
CAMK1D,30 T2DM control,GWAS_literature,0.0,48057,38.1,1.5
CDKAL1,30 T2DM control,GWAS_literature,0.0,688950,38.6,2.5
DGKB,30 T2DM control,GWAS_literature,0.0,261485,36.4,nan
DUSP8,30 T2DM control,GWAS_literature,0.0,61280,36.1,1.5
FOXA2,30 T2DM control,GWAS_literature,0.0,3988,66.5,nan
FTO,30 T2DM control,GWAS_literature,0.0,220169,38.2,1.5
GCK,30 T2DM control,GWAS_literature,0.0,35461,60.9,3.0
GCKR,30 T2DM control,GWAS_literature,0.0,27360,49.1,1.0
GRB14,30 T2DM control,GWAS_literature,0.0,106288,42.2,1.0
HHEX,30 T2DM control,GWAS_literature,0.0,27853,59.5,1.0
HMGA2,30 T2DM control,GWAS_literature,0.0,77475,36.8,nan
HNF1A,30 T2DM control,GWAS_literature,0.0,31786,54.4,nan
HNF1B,30 T2DM control,GWAS_literature,0.0,59144,38.3,nan
JAZF1,30 T2DM control,GWAS_literature,0.0,290504,41.4,2.0
KCNJ11,30 T2DM control,GWAS_literature,0.0,9625,46.2,1.5
KLF14,30 T2DM control,GWAS_literature,0.0,8200,65.0,1.0
MNX1,30 T2DM control,GWAS_literature,0.0,7716,48.2,nan
PAM,30 T2DM control,GWAS_literature,0.0,462588,36.6,1.0
PDX1,30 T2DM control,GWAS_literature,0.0,8856,61.8,nan
PPARG,30 T2DM control,GWAS_literature,0.0,494639,38.7,1.0
PROX1,30 T2DM control,GWAS_literature,0.0,49409,36.5,1.0
RREB1,30 T2DM control,GWAS_literature,0.0,177238,44.0,1.0
SLC16A11,30 T2DM control,GWAS_literature,0.0,14520,36.5,1.0
SLC30A8,30 T2DM control,GWAS_literature,0.0,110156,40.2,nan
ST6GAL1,30 T2DM control,GWAS_literature,0.0,93218,37.7,1.5
TCF7L2,30 T2DM control,GWAS_literature,0.0,224243,36.0,nan
TSPAN8,30 T2DM control,GWAS_literature,0.0,92696,42.0,nan
